Titel,Autor,ISBN,Erscheinungsjahr,Auflage,Zustand,Verlag,Preis,Bestand,Status,Leihfrist
"Laut der Genau, ['Kinder- und Jugendbücher', 'Geschichte']",Vesna Aumann,978-0-13-721263-7,14061877,4,"['Abgenutzt', 'Gut', 'Neu', 'Neu', 'In Ordnung', 'Sehr gut', 'Sehr gut']",Verlagsgruppe Ippen,20.39,7,"['verliehen', 'gelb', 'grün', 'rot', 'rot', 'verliehen', 'vorgemerkt']",unbekannt
"Drehen der Herr, ['Belletristik']",Adalbert Lehmann,978-1-919921-03-7,24021888,7,['Neu'],Rowohlt Verlag,33.09,1,['verfügbar'],14
"Frage der Berg, ['Sachbücher']",Reinhilde Bauer,978-0-515-89650-3,04021923,60,[],Reclam Verlag,31.84,0,[],21
"Offen der Um, ['Reiseliteratur']",Angela Gnatz,978-0-301-52384-2,19310103,6,"['Neu', 'Gut', 'Neu', 'In Ordnung', 'Abgenutzt', 'Neu', 'Neu']",Beltz & Gelberg,21.93,7,"['ausgeliehen', 'verfügbar', 'rot', 'ausgeliehen', 'grün', 'rot', 'grün']",10
"Jeder der Mich, ['Wissenschaft', 'Technik']",Jeannine Thanel,978-1-59967-109-3,28081987,20,"['In Reparatur', 'Sehr gut']",Springer Fachmedien,30.99,2,"['grün', 'verfügbar']",28
"Minutenmir der Helfen, ['Kinder- und Jugendbücher']",Falko Atzler,978-1-4939-9975-0,13011938,4,"['Abgenutzt', 'Sehr gut']",Heyne Verlag,24.63,2,['verfügbar'],14
"Erst der Garten, ['Kinder- und Jugendbücher']",Marius Bolander,978-0-385-83790-3,2016-06-14,8,"['In Ordnung', 'Sehr gut']",Verlagsgruppe Random House,34.22,4,"['vorgemerkt', 'verliehen', 'verliehen', 'verliehen']",14 Tage
"Holen der Sommer, ['Kunst und Kultur']","Gutknecht, Dietlinde",978-0-03-007945-0,29111999,2,"['Gut', 'Verloren', 'Sehr gut']",Verlagsgruppe Random House,31.29,3,['rot'],21
"Ende der Hoch, ['Wissenschaft', 'Psychologie']",Mirko Köhler,978-0-400-33442-4,23101974,7,"['Neu', 'Sehr gut', 'Ausgemustert', 'Abgenutzt', 'Unvollständig', 'Sehr gut']",Ullstein Buchverlage,35.63,6,"['grün', 'rot', 'grün', 'verfügbar', 'verfügbar', 'gelb']",21
"Tisch der Natürlich, ['Reiseliteratur']",Mathilde Dietz,978-0-364-10252-7,15081898,2,"['In Ordnung', 'Gut', 'Gut', 'Neu']",Nomos Verlagsgesellschaft,39.0,4,"['grün', 'verfügbar', 'verfügbar', 'grün']",10
"Können der Und, ['Wissenschaft']",Gotthard Conradi,978-0-7178-3192-0,10112003,2,"['Neu', 'Neu', 'Gut', 'Unvollständig', 'Beschädigt', 'Sehr gut', 'Neu']",Diederichs Verlag,25.83,7,[],28
"Will der Geben, ['Gesundheit']",Gina Trub,978-0-85255-968-0,23111898,9,"['Neu', 'Sehr gut']",Gräfe und Unzer Verlag,33.47,2,"['verfügbar', 'vorgemerkt']",21
"Noch der Setzen, ['Belletristik', 'Belletristik']",Andre Binner,0-09-113209-6,25101900,1,"['In Reparatur', 'Sehr gut']",VERLAGSGRUPPE WELTBILD,36.12,2,"['verliehen', 'verliehen']",14
"Hinein der Singen, ['Kunst und Kultur', 'Reiseliteratur']",Jeannine Rudolph,978-0-448-45067-4,30051907,3,['Verloren'],Verlagsgruppe Hüthig Jehle Rehm,37.44,1,['verfügbar'],10
"Turnen der Gibt, ['Sprachen']",Birgitt Dietz,978-0-378-24901-0,17012008,2,[],Hubert Burda Media,33.91,5,"['rot', 'grün', 'gelb', 'verfügbar', 'rot']",21
"Hängen der Zeit, ['Krimis & Thriller']",Geert Nerger,978-1-938508-21-9,18011891,9,"['Neu', 'Gut', 'Sehr gut', 'Unvollständig', 'Abgenutzt', 'Neu', 'Beschädigt', 'Sehr gut', 'Abgenutzt']",Verlagshaus Römerweg,33.17,9,"['rot', 'verliehen', 'verfügbar', 'grün', 'rot', 'rot', 'rot', 'verfügbar', 'verliehen']",14
"Als der Blume, ['Psychologie']",Harold Kabus,978-0-408-69701-9,13011888,9,['Neu'],Münchener Verlagsgruppe,24.72,1,['verliehen'],999
"Tun der Freude, ['Sprachen', 'Reiseliteratur']",Sebastiano Killer,0-214-93299-0,26081929,2,"['Verloren', 'Abgenutzt', 'Sehr gut']",O'Reilly Media,46.92,3,"['verfügbar', 'vorgemerkt', 'rot']",10
"Seit der Schwer, ['Wissenschaft']",Dino Conradi,978-0-562-40169-9,08011951,30,"['Unvollständig', 'Gut', 'Abgenutzt', 'Gut', 'Neu', 'Beschädigt', 'Neu']",SingLiesel Verlag,18.1,7,"['rot', 'verliehen', 'verliehen', 'rot', 'verfügbar', 'rot', 'vorgemerkt']",28
"Fröhlich der Fangen, ['Sport']",Maurizio Süßebier,978-1-279-19201-6,09021913,6,"['Beschädigt', 'Neu']",Cornelsen Verlag,41.3,2,"['rot', 'verfügbar']",14
"Aber der Pferd, ['Biografien']",Carolin Wirth,978-0-8417-5534-5,03011875,8,"['Sehr gut', 'Abgenutzt', 'Gut']",Münchener Verlagsgruppe,29.21,8,"['verfügbar', 'rot', 'rot', 'verfügbar', 'verfügbar', 'grün', 'rot', 'verfügbar']",21
"Versuchen der Gehen, ['Kochen & Ernährung']",Norbert Hövel,978-0-283-49519-9,04071972,3,"['Gut', 'Neu', 'Abgenutzt', 'Sehr gut', 'Sehr gut', 'Abgenutzt', 'Neu', 'Gut', 'Sehr gut']",O'Reilly Media,55.55,9,"['verfügbar', 'verfügbar', 'grün']",10
"Letzte der Nein, ['Sprachen', 'Philosophie']",Ehrenfried Gieß,978-1-4180-3769-7,18052001,3,"['In Ordnung', 'Neu', 'Beschädigt', 'In Reparatur', 'Sehr gut', 'In Ordnung', 'Neu', 'Neu']",Verlagsgruppe Hüthig Jehle Rehm,33.85,8,"['rot', 'verliehen', 'rot', 'grün', 'vorgemerkt', 'verfügbar', 'verfügbar', 'ausgeliehen']",28
"Sitzen der Vogel, ['Sachbücher', 'Belletristik']",Caren Dietz,978-0-698-79056-8,21051952,5,"['Gut', 'Abgenutzt', 'Sehr gut', 'Sehr gut', 'In Reparatur', 'In Ordnung', 'Gut', 'Unvollständig', 'In Ordnung']",O'Reilly Media,46.96,9,"['verliehen', 'gelb', 'rot', 'gelb', 'ausgeliehen', 'rot', 'rot', 'rot', 'verloren']",
"Pferd der Wünschen, ['Kinder- und Jugendbücher']",Sigrid Trub,978-0-02-696323-7,08091997,3,"['Ausgemustert', 'Neu', 'Unvollständig', 'In Ordnung', 'In Reparatur', 'Sehr gut', 'Gut', 'Sehr gut']",Hubert Burda Media,31.1,8,"['verfügbar', 'verfügbar', 'verliehen', 'rot', 'verliehen', 'rot', 'verfügbar', 'verfügbar']",14
"Mensch der Gab, ['Krimis & Thriller']",Peter Weitzel,978-1-4040-2812-8,10091881,3,"['Beschädigt', 'Sehr gut', 'Sehr gut', 'Neu']",Cornelsen Verlag,30.74,8,"['verfügbar', 'rot', 'verliehen', 'verliehen', 'verfügbar', 'grün', 'vorgemerkt', 'verfügbar']",14
"Platz der Blau, ['Kinder- und Jugendbücher']",Hans-Hermann Finke,978-1-60181-047-2,01081884,3,['In Ordnung'],Verlagsgruppe Georg von Holtzbrinck,37.54,1,['verliehen'],
"Wetter der An, ['Belletristik']",Mariele Gnatz,978-0-928232-90-5,17041886,9,"['Beschädigt', 'Sehr gut', 'Gut', 'In Ordnung', 'Sehr gut']",MAIRDUMONT,23.09,5,['gelb'],14
"Damit der Geschichte, ['Sachbücher', 'Psychologie']",Andre Lehmann,978-1-71830-435-2,05071883,2,"['Unvollständig', 'Neu', 'Neu', 'Abgenutzt', 'In Ordnung']",Hans Gerig Musikverlage,36.94,5,"['gelb', 'gelb', 'grün', 'vorgemerkt', 'gelb']",21
"Maus der Drei, ['Kinder- und Jugendbücher']",Julia Kraushaar,978-0-355-81364-7,28071916,1,"['Neu', 'Abgenutzt', 'Verloren']",Haufe Mediengruppe,36.06,3,[],14
"Dabei der Unter, ['Philosophie']",Mathilde Mies,978-1-5472-4313-6,11052012,8,"['In Reparatur', 'In Ordnung', 'Abgenutzt']",Verlag Moderne Industrie,37.06,3,[],28
"Opa der Lustig, ['Fantasy & Science-Fiction', 'Wissenschaft']",Gretchen Weitzel,978-0-529-18800-7,20021971,7,"['Gut', 'Gut']",Diederichs Verlag,36.03,2,"['verfügbar', 'verfügbar']",28
"Früher der Einmal, ['Fantasy & Science-Fiction', 'Psychologie']",Harold Fröhlich,978-1-949788-37-2,19660422,4,"['Gut', 'Gut']",Verlagsgruppe Georg von Holtzbrinck,38.4,2,"['???', 'grün']",21
"Freuen der Weiter, ['Krimis & Thriller']",Philipp Conradi,978-1-83681-244-9,19510420,1,"['In Ordnung', 'Sehr gut', 'Unvollständig', 'Neu', 'Abgenutzt', 'In Ordnung']",Verlag Gerhard Rautenberg,2141,6,"['grün', 'rot', 'verfügbar', 'rot', 'verfügbar', 'rot']",14
"Sechs der Her, ['Reiseliteratur', 'Technik']","Budig, Ahmad",978-1-5426-8998-4,20022020,8,"['Neu', 'Gut', 'In Reparatur', 'In Ordnung', 'Sehr gut']",Beltz & Gelberg,39.8,7,"['rot', 'verfügbar', 'gelb', 'verliehen', 'grün', 'rot', 'rot']",28
"Ihr der Haus, ['Kinder- und Jugendbücher']",Geert Dietz,978-0-596-30231-3,1900-10-17,3,"['Beschädigt', 'In Ordnung', 'Abgenutzt', 'Abgenutzt', 'Sehr gut', 'Sehr gut', 'Gut', 'Gut', 'In Ordnung']",MairDumont,23.48,9,"['gelb', 'vorgemerkt']",999
"Da der Platz, ['Kunst und Kultur']",Lydia Oderwald,978-1-56896-980-0,15032012,7,"['Gut', 'Abgenutzt', 'Neu', 'Abgenutzt', 'Gut', 'Sehr gut', 'Beschädigt', 'In Reparatur', 'Beschädigt']",Thomas Kettler Verlag,37.25,9,"['gelb', 'rot', 'rot', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'grün', 'rot']",21
"Ding der Fahrrad, ['Kunst und Kultur', 'Belletristik']",Swantje Knappe,978-0-473-32582-4,27092019,7,"['Neu', 'In Ordnung', 'Beschädigt']",Cornelsen Verlag,21.89,3,"['grün', 'rot']",14
"Nacht der Weiter, ['Reiseliteratur']","Schlosser, Kornelius",978-0-317-62936-1,1999-11-04,3,"['Sehr gut', 'In Ordnung', 'In Ordnung', 'In Ordnung', 'In Ordnung', 'Neu', 'Sehr gut', 'Gut']",Hanser Verlag,24.0,8,"['rot', 'gelb', 'verfügbar', 'rot', 'verliehen', 'rot', 'rot', 'verliehen']",10
"Hunger der Hart, ['Wissenschaft']",Mirko Schmidt,978-1-9799-1429-1,02041918,2,"['Sehr gut', 'In Ordnung']",HANS GERIG MUSIKVERLAGE,27.22,2,"['grün', 'vorgemerkt']",28
"Spiel der Nun, ['Belletristik']",Gina Gehringer,978-1-05-850899-1,19081989,6,"['Sehr gut', 'Gut', 'Gut', 'In Reparatur', 'Unvollständig', 'Sehr gut', 'Sehr gut']",Eulenspiegel Verlagsgruppe,34.28,7,"['gelb', 'verliehen', 'verliehen', 'verfügbar', 'rot', 'verfügbar', 'rot']",14
"Dem der Himmel, ['Kunst und Kultur']",Swantje Gehringer,978-0-540-56835-2,26062020,6,"['In Ordnung', 'In Ordnung', 'Sehr gut', 'Abgenutzt', 'Unvollständig', 'Neu']",Kiepenheuer & Witsch,26.26,6,"['rot', 'vorgemerkt', 'verliehen', 'verliehen', 'rot', 'rot']",21
"Baum der Ins, ['Sprachen']","Killer, Ahmad",978-1-354-59029-4,31121885,6,"['Verloren', 'Neu', 'Beschädigt', 'Neu', 'In Ordnung', 'Sehr gut']",Verlag Gerhard Rautenberg,34.7,6,"['verfügbar', 'gelb', 'rot', 'rot', 'verfügbar', 'grün']",14 Tage
"Im der Mal, ['Belletristik', 'Kunst und Kultur']",Patrizia Adler,978-1-76331-066-7,05021973,4,"['Sehr gut', 'Sehr gut', 'Neu', 'In Reparatur']",Piper Verlag,19.04,4,['rot'],21
"Hinter der Sonntag, ['Naturwissenschaften']",Wanda Gorlitz,978-0-07-682231-7,14042006,6,"['Gut', 'Beschädigt', 'Sehr gut']",Diederichs Verlag,29.25,3,"['rot', 'rot', 'verfügbar']",28
"Und der Eigentlich, ['Kinder- und Jugendbücher', 'Kochen & Ernährung']","Haase, Ortrun",978-0-455-11516-0,20101994,2,"['Beschädigt', 'Neu']",Haufe Mediengruppe,26.42,2,"['verliehen', 'grün']",10
"Frei der Grün, ['Wissenschaft']",Hans-Jürgen Koch,978-0-255-41825-6,15051998,8,"['Neu', 'Sehr gut', 'Gut', 'Gut', 'Sehr gut', 'Beschädigt', 'Unvollständig']",Suhrkamp Verlag,16.14,7,"['gelb', 'verfügbar', 'verfügbar', 'gelb', 'verfügbar', 'verfügbar', 'verfügbar']",28
"Sie der Wissen, ['Sachbücher']",Vesna Linke,978-0-511-46510-9,19391126,7,"['Gut', 'Sehr gut', 'In Ordnung', 'Sehr gut']",Verlagsgruppe Weltbild,29.9,4,"['rot', '???', 'verfügbar', 'vorgemerkt']",21
"Alt der Weiter, ['Reiseliteratur']","Textor, Albin",978-1-78060-428-2,02121955,4,"['Sehr gut', 'In Ordnung', 'Unvollständig', 'Neu', 'Gut']",Hanser Verlag,18.85,9,"['grün', 'verliehen', 'verliehen', 'rot', 'verliehen', 'verfügbar', 'verfügbar', 'verfügbar', 'rot']",10
"Lange der Auge, ['Psychologie']",Mirko Lachmann,978-0-7715-5055-3,27081933,3,[],Verlag C.H. Beck,32.73,0,[],21
"Teller der Tür, ['Religion & Spiritualität']",Thea Bolander,978-0-9983110-7-4,28041907,8,"['Abgenutzt', 'Abgenutzt', 'Beschädigt', 'In Reparatur', 'In Ordnung', 'Neu', 'Abgenutzt', 'In Reparatur']",Münchner Verlagsgruppe,16.96,8,"['verfügbar', 'rot', 'verfügbar', 'rot', 'rot', 'gelb', 'verloren', 'rot']",unbekannt
"Nimmt der Rennen, ['Sprachen']",Silvia Berger,978-0-655-31886-6,02121891,4,['In Ordnung'],Verlagsgruppe Husum,39.84,1,[],21
"Will der Gerade, ['Sachbücher']",Mirko Zirme,978-1-58297-750-8,09121890,6,[],Verlagsgruppe Ippen,23.96,6,"['verfügbar', 'verfügbar', 'rot', 'verfügbar', 'rot', 'rot']",21
"Bei der Woche, ['Sprachen', 'Fantasy & Science-Fiction']",Angela Finke,978-1-06-421284-4,29121956,20,"['Abgenutzt', 'Sehr gut', 'Verloren', 'Sehr gut', 'Unvollständig']",Cornelsen Verlag,3537,5,"['rot', 'rot', 'grün', 'grün', 'rot']",14
"Offen der Arzt, ['Kinder- und Jugendbücher']",Inga Schomber,978-1-949059-59-5,10051991,7,"['In Reparatur', 'Gut', 'Beschädigt', 'In Reparatur', 'Abgenutzt', 'Sehr gut']",Hans Gerig Musikverlage,29.4,6,"['grün', 'grün', 'verfügbar', 'verliehen', 'verfügbar']",14
"Turnen der Kann, ['Sachbücher']",Valentin Köhler,978-0-623-23776-2,05081910,5,"['Abgenutzt', 'Gut', 'Sehr gut', 'Neu', 'Sehr gut', 'Neu', 'In Ordnung', 'Neu']",Gräfe und Unzer Verlag,26.59,8,"['rot', 'verfügbar', 'grün', 'verfügbar', 'rot', 'rot', 'rot', 'grün']",21
"Dick der Zwei, ['Gesundheit']",Gottlob Rudolph,978-0-18-661140-5,09071992,5,"['Neu', 'Gut', 'Neu', 'Abgenutzt', 'Abgenutzt', 'Neu', 'Neu']",Eulenspiegel Verlagsgruppe,33.82,7,"['verfügbar', 'verliehen', 'rot', 'verfügbar', 'verfügbar']",21
"Tante der Leicht, ['Fantasy & Science-Fiction', 'Kinder- und Jugendbücher']",Jessika Zobel,978-1-01-692093-3,21021913,1,"['Abgenutzt', 'Unvollständig', 'Beschädigt', 'In Ordnung', 'Beschädigt', 'Sehr gut', 'Sehr gut', 'Gut', 'Abgenutzt']",Diederichs Verlag,42.46,9,['rot'],14
"Ins der Immer, ['Krimis & Thriller', 'Geschichte']","Gorlitz, Gottlob",978-1-05-085153-8,11121977,2,"['Ausgemustert', 'Neu', 'Gut', 'Unvollständig', 'Sehr gut', 'Sehr gut', 'Neu', 'Neu', 'Gut']",Münchener Verlagsgruppe,20.49,9,"['verfügbar', 'ausgeliehen', 'grün', 'verfügbar', 'verfügbar']",28
"Fertig der Schluss, ['Wissenschaft']",Cindy Hövel,978-1-319-36430-4,27082003,6,['Gut'],Droemer Knaur,18.23,1,['verliehen'],28
"Dazu der Gar, ['Sachbücher']",Kazim Rudolph,978-1-311-16543-5,1941-12-31,6,"['Abgenutzt', 'Gut', 'Beschädigt', 'Gut', 'Beschädigt', 'Unvollständig']",SINGLIESEL VERLAG,47.32,6,"['rot', 'verfügbar', 'rot', 'verliehen', 'verliehen']",21
"Einige der Gefährlich, ['Belletristik', 'Sachbücher']",Heinz-Günter Gnatz,978-0-357-48339-8,19990330,7,"['In Ordnung', 'In Ordnung', 'Neu', 'Neu', 'Neu', 'In Ordnung']",Reclam Verlag,23.27,6,"['verfügbar', 'vorgemerkt', 'verliehen', 'verfügbar', 'gelb', 'vorgemerkt']",21
"Beim der Gab, ['Sachbücher']",Johannes Wilmsen,978-0-564-11909-7,26011900,4,"['Beschädigt', 'Neu', 'Verloren', 'Neu', 'Beschädigt', 'Sehr gut', 'Sehr gut']",Verlagsgruppe Georg von Holtzbrinck,46.21,7,"['verfügbar', 'grün', 'verfügbar']",21
"Mit der Bleiben, ['Fantasy & Science-Fiction']",Dino Weitzel,978-0-443-34517-3,1890-01-31,50,"['In Ordnung', 'In Ordnung', 'Ausgemustert']",Eulenspiegel Verlagsgruppe,22.46,6,"['verfügbar', 'verfügbar', 'vorgemerkt', 'verliehen', 'verliehen', 'ausgeliehen']",14
"Wünschen der Wirklich, ['Philosophie']",Ahmad Adler,978-0-8245-4532-1,29121991,1,"['Neu', 'Abgenutzt']",Suhrkamp Verlag,21.01,2,"['rot', 'verfügbar']",28
"Darauf der Zahl, ['Belletristik']",Andre Conradi,978-1-5228-6063-1,14052005,4,"['Gut', 'In Ordnung', 'In Reparatur', 'In Ordnung', 'Beschädigt', 'Neu']",Verlagshaus Römerweg,18.86,6,"['verfügbar', 'rot', 'verfügbar', 'grün']",14
"Vogel der Nehmen, ['Kunst und Kultur']",Sigrid Lehmann,978-0-00-498550-3,29031957,2,"['Sehr gut', 'Sehr gut', 'Sehr gut', 'Sehr gut', 'Verloren', 'Neu', 'Beschädigt']",Oldenbourg Verlag,23.91,7,"['verliehen', 'verliehen', 'verliehen', 'verfügbar', 'grün', 'verfügbar', 'verliehen']",21
"Berg der Sie, ['Geschichte', 'Computer & IT']",Hinrich Gnatz,978-0-04-433234-3,23081897,1,"['Beschädigt', 'Neu', 'Gut']",O'Reilly Media,31.04,3,['verfügbar'],28
"Müssen der Allein, ['Sachbücher']",Hans-Jürgen Schomber,978-1-360-66615-0,08112003,3,['Neu'],Redline Verlag,30.41,1,['grün'],21
"Schlimm der Wo, ['Belletristik']",Kornelius Sontag,978-1-889783-00-0,11041978,2,"['Gut', 'Gut', 'Neu']",Münchener Verlagsgruppe,36.61,3,"['ausgeliehen', 'verfügbar', 'grün']",14
"Flasche der Kind, ['Wissenschaft']",Madlen Wilmsen,978-0-450-99830-0,22061918,6,['In Reparatur'],O'Reilly Media,30.18,1,['grün'],28
"Bauen der Halbe, ['Reiseliteratur', 'Philosophie']",Samuel Karz,978-1-82512-324-2,1941-11-23,1,"['Gut', 'Unvollständig', 'Neu', 'Gut', 'Sehr gut']",Fischer Verlage,37.44,5,"['verfügbar', 'verloren', 'verfügbar', 'verfügbar', 'rot']",28
"Zur der Einige, ['Biografien']",Sigrid Süßebier,978-0-07-404569-5,28021996,7,"['Gut', 'Sehr gut', 'Unvollständig', 'Beschädigt', 'Beschädigt']",Verlagsgruppe Ippen,26.15,5,[],21
"Gab der Weg, ['Krimis & Thriller']",Guiseppe Fischer,978-0-403-75240-9,04101885,3,"['Abgenutzt', 'Beschädigt', 'Neu', 'Sehr gut', 'Neu', 'Gut']",Reinhold Kühn Verlag,36.38,8,"['verfügbar', 'grün', '???', 'verfügbar', 'grün', 'grün', 'rot', 'rot']",unbekannt
"Haare der Einigen, ['Computer & IT']","Textor, Carolin",978-1-5136-1106-8,31011930,9,"['Neu', 'Neu', 'Beschädigt', 'Sehr gut', 'Neu', 'Sehr gut', 'Sehr gut', 'Beschädigt']",Hubert Burda Media,17.94,8,"['verfügbar', 'rot', 'verfügbar', 'ausgeliehen', 'verfügbar', 'verfügbar', 'grün', 'verfügbar']",28
"Schwarz der Winter, ['Sprachen']",Jurij Fischer,978-1-312-03749-6,1925-03-12,2,"['Unvollständig', 'Abgenutzt', 'Neu', 'Ausgemustert', 'Neu']",Fischer Verlage,17.04,5,[],21
"Fliegen der Früher, ['Kochen & Ernährung']",Gina Gehringer,978-1-69073-428-4,31032000,2,"['Verloren', 'In Ordnung', 'Neu', 'Sehr gut']",Verlag Moderne Industrie,30.22,5,"['verfügbar', 'verfügbar', 'gelb', 'rot', 'verfügbar']",10
"Man der Dazu, ['Krimis & Thriller']",Dietlinde Martin,978-0-264-41532-1,23051903,2,['Sehr gut'],Bastei Lübbe,34.0,1,['rot'],14
"Hart der Bett, ['Reiseliteratur']",Swantje Hein,978-0-269-41050-5,23031879,6,"['Abgenutzt', 'Neu', 'Gut']",Silberschnur Verlag,1451,3,"['verliehen', 'verliehen', 'grün']",10
"Gewinnen der Papa, ['Sachbücher']",Madlen Thanel,978-1-4018-9273-9,01011911,6,"['In Ordnung', 'In Reparatur', 'In Ordnung', 'Beschädigt', 'Beschädigt', 'Neu', 'Neu', 'In Ordnung', 'Gut']",Silberschnur Verlag,19.9,9,"['verfügbar', 'grün', 'gelb', 'vorgemerkt', 'verliehen', 'verliehen', 'rot', 'vorgemerkt', 'rot']",21
"Mutter der Jahr, ['Belletristik', 'Technik']","Conradi, Aloisia",978-1-222-13206-9,09011956,6,"['Sehr gut', 'Gut', 'Neu']",Diederichs Verlag,36.5,3,['ausgeliehen'],28
"Klettern der Schule, ['Religion & Spiritualität']",Hans-Günter Wesack,978-0-406-29435-7,19081881,4,"['In Ordnung', 'Sehr gut', 'Unvollständig', 'Beschädigt', 'Unvollständig', 'Abgenutzt']",WEKA-Verlagsgruppe,17.93,6,"['verfügbar', 'gelb', 'verliehen', 'grün', 'grün', 'verfügbar']",21
"Fuß der Daran, ['Sprachen']",Vesna Bolander,1-886949-18-2,26121958,5,"['Sehr gut', 'Ausgemustert', 'Neu', 'In Reparatur', 'In Ordnung']",Südwestdeutsche Medien Holding,31.68,6,"['verliehen', 'rot', 'verliehen', 'verliehen', 'verliehen']",21
"Mädchen der Fährt, ['Geschichte', 'Gesundheit']",Helene Mies,978-0-6483410-5-5,27011909,8,[],dtv Verlagsgesellschaft,32.79,0,[],21
"Fest der Unter, ['Belletristik', 'Belletristik']",Ortrun Martin,978-0-02-091906-3,08121928,9,"['Gut', 'Sehr gut', 'Abgenutzt', 'Ausgemustert', 'Abgenutzt', 'In Ordnung', 'Neu']",Verlag Moderne Industrie,39.94,7,"['grün', 'verliehen', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar']",14
"Junge der Schlafen, ['Kochen & Ernährung', 'Kinder- und Jugendbücher']",Julia Hövel,978-0-06-427331-2,29081965,1,"['Verloren', 'In Ordnung', 'Sehr gut', 'Unvollständig', 'Neu']",Verlagshaus Römerweg,2954,6,"['rot', 'rot', 'verfügbar', 'rot', 'grün', 'rot']",14
"Las der Doch, ['Technik']",Selim Hövel,978-1-71768-436-3,04121981,8,"['Sehr gut', 'Neu', 'Sehr gut', 'Neu', 'Sehr gut', 'Gut', 'Neu', 'Beschädigt']",Verlag J. Neumann,37.69,8,"['rot', 'verliehen', 'verliehen', 'verliehen', 'rot']",28
"Sieben der Mädchen, ['Belletristik']",Maurizio Hein,978-0-06-380499-9,26051893,1,"['Neu', 'In Ordnung', 'Gut', 'Abgenutzt']",Verlagsgruppe Georg von Holtzbrinck,15.3,4,"['verfügbar', 'rot', 'gelb', 'verfügbar']",14
"Stein der Schnell, ['Belletristik', 'Kinder- und Jugendbücher']",Eleonora Spieß,978-0-498-62790-3,28111942,7,"['Abgenutzt', 'Ausgemustert', 'Neu', 'Beschädigt', 'Gut', 'In Ordnung', 'Gut']",Verlagsgruppe Hüthig Jehle Rehm,25.83,7,"['grün', 'grün', 'rot', 'rot', 'rot', 'rot', 'grün']",14
"Grün der Freude, ['Krimis & Thriller']","Pohl, Hans-Günter",978-1-4599-5009-2,02041943,7,['Neu'],Nomos Verlagsgesellschaft,39.74,2,"['rot', 'rot']",14
"Gehören der Schreiben, ['Technik']",Patrizia Junitz,978-1-345-19571-2,13011876,2,"['Sehr gut', 'Abgenutzt', 'In Ordnung', 'Sehr gut', 'In Ordnung']",Carlsen Verlag,44.73,5,"['grün', 'rot', 'grün', 'verliehen', 'rot']",28
"Boden der Öffnen, ['Reiseliteratur']",Maurizio Rogner,978-1-217-99983-7,18011967,5,"['Sehr gut', 'Beschädigt', 'Gut', 'Neu', 'In Reparatur', 'Gut', 'Gut']",Reinhold Kühn Verlag,23.11,7,"['grün', 'vorgemerkt', 'verfügbar', 'grün', 'vorgemerkt', 'verfügbar', 'verfügbar']",10
"Stehen der Pferd, ['Belletristik']",Ortrun Spieß,978-1-277-64069-4,12071918,1,"['Gut', 'Neu']",Campus Verlag,26.92,2,"['rot', 'grün']",14
"Wer der Beide, ['Kunst und Kultur']",Cläre Franke,978-1-185-30363-6,20101932,7,"['Gut', 'Sehr gut', 'Neu']",Rowohlt Verlag,18.14,3,"['verfügbar', 'verliehen', 'rot']",21
"Verlieren der Jahr, ['Geschichte']",Jennifer Adler,978-0-488-55537-7,22091958,5,"['Abgenutzt', 'In Ordnung']",Diederichs Verlag,26.85,2,"['grün', 'verfügbar']",28
"Reich der Früher, ['Biografien', 'Religion & Spiritualität']",Cindy Berger,978-0-8065-9424-8,17061939,3,"['Gut', 'Sehr gut', 'Abgenutzt', 'In Ordnung', 'Sehr gut']",Silberschnur Verlag,14.42,6,"['rot', 'rot', 'verfügbar', 'gelb']",unbekannt
"Heiß der Schreiben, ['Geschichte']","Finke, Selim",978-1-4958-5131-5,20091886,1,[],dtv Verlagsgesellschaft,26.99,0,[],28
"Her der Stehen, ['Fantasy & Science-Fiction']",Kathleen Süßebier,0-260-60305-8,20012016,5,['Gut'],Droemer Knaur,36.49,1,['verliehen'],7
"Flasche der Spaß, ['Sachbücher']",Hannelore Süßebier,978-0-07-129794-3,08121890,8,"['In Reparatur', 'Sehr gut', 'Abgenutzt', 'Abgenutzt', 'In Ordnung', 'Neu', 'Gut', 'Gut', 'Unvollständig']",VERLAGSGRUPPE GEORG VON HOLTZBRINCK,16.12,9,"['grün', 'grün', 'rot', 'verfügbar', 'grün', 'verfügbar', 'rot', 'rot', 'verfügbar']",21
"Bald der Oben, ['Sprachen', 'Sachbücher']",Angela Wesack,978-0-7359-9280-1,27071940,5,"['In Ordnung', 'Neu', 'Neu', 'Neu', 'Beschädigt']",Beltz & Gelberg,45.62,5,"['rot', 'verfügbar', 'vorgemerkt', 'verliehen', 'gelb']",
"Dem der Schlimm, ['Sachbücher', 'Geschichte']",Nadeschda Hering,978-1-904428-45-9,28041990,5,"['Neu', 'Sehr gut', 'Unvollständig']",Südwestdeutsche Medien Holding,55.7,3,"['vorgemerkt', 'rot', 'rot']",unbekannt
"Da der Fehlen, ['Biografien', 'Kinder- und Jugendbücher']",Sigrid Budig,978-1-81989-035-8,11101948,4,['Verloren'],Verlag Gerhard Rautenberg,37.82,1,['verfügbar'],14
